,TRPMILES,TRVLCMIN,STRTTIME,ENDTIME,WHYFROM,WHYTRP1S,DAY,VMT_MILE
253,25.065,30,1700,1730,11,1,79,25.065
254,0.082,5,1000,1005,1,10,80,0.082
255,13.137,20,1200,1220,3,40,80,13.137
256,13.478,20,1300,1320,11,1,80,13.478
257,5.087,10,1345,1355,1,40,81,5.087
258,0.127,5,1410,1415,11,40,81,0.127
259,4.994,10,1420,1430,12,1,81,4.994
260,17.879,25,730,755,1,10,83,17.879
261,18.191,30,1600,1630,3,1,83,18.191
262,5.133,14,1145,1159,1,1,84,5.133
263,4.996,14,1312,1326,1,70,84,4.996
264,5.133,15,1341,1356,6,1,84,5.133
265,0.575,4,1703,1707,1,70,84,0.575
266,4.651,14,1717,1731,6,70,84,4.651
267,4.733,22,1810,1832,1,1,84,-1.0
268,0.725,4,1834,1838,6,40,84,0.725
269,4.766,14,1850,1904,11,1,84,4.766
270,0.976,10,850,900,1,20,85,0.976
271,0.976,5,1150,1155,19,70,85,0.976
272,3.226,15,1215,1230,6,50,85,3.226
273,3.226,10,1430,1440,17,1,85,3.226
274,0.613,10,1700,1710,1,70,85,0.613
275,0.613,5,1720,1725,6,1,85,0.613
276,3.842,8,1048,1056,1,10,86,3.842
277,3.837,7,1735,1742,3,1,86,3.837
278,1.174,10,745,755,1,20,87,1.174
279,1.131,10,1510,1520,8,1,87,1.131
280,4.519,15,745,800,1,10,88,4.519
281,7.428,15,1700,1715,3,50,88,7.428
282,11.892,15,1815,1830,16,1,88,11.892
283,3.29,10,735,745,1,70,89,3.29
284,4.0,150,815,1045,6,70,89,4.0
285,3.285,20,1115,1135,6,1,89,3.285
286,113.021,150,600,830,1,10,91,113.021
287,1.81,10,1220,1230,3,80,91,1.81
288,1.805,10,1250,1300,13,40,91,1.805
289,0.337,5,1310,1315,11,10,91,0.337
290,112.174,120,1730,1930,3,1,91,112.174
291,15.55,30,600,630,1,10,92,15.55
292,0.531,1,1200,1201,3,80,92,0.531
293,0.622,5,1205,1210,13,10,92,0.622
294,15.323,30,1630,1700,3,1,92,15.323
