,TRPMILES,TRVLCMIN,STRTTIME,ENDTIME,WHYFROM,WHYTRP1S,DAY,VMT_MILE
216,8.75,20,1745,1805,3,80,75,-1.0
217,9.381,19,2125,2144,13,1,75,-1.0
218,0.384,5,845,850,1,80,77,0.384
219,0.608,5,855,900,13,10,77,0.608
220,0.608,5,1315,1320,3,80,77,0.608
221,0.384,5,1325,1330,13,1,77,0.384
222,0.045,2,1350,1352,1,10,77,0.045
223,0.227,2,1415,1417,3,10,77,0.227
224,0.227,2,1830,1832,3,1,77,0.227
225,2.381,8,545,553,1,50,78,2.381
226,2.246,10,704,714,16,1,78,2.246
227,2.582,15,800,815,1,80,79,2.582
228,2.562,20,825,845,13,1,79,2.562
229,2.805,20,1443,1503,1,80,79,2.805
230,0.253,5,1542,1547,13,40,79,0.253
231,3.854,13,1558,1611,11,1,79,3.854
232,10.041,20,645,705,1,10,80,10.041
233,4.079,15,830,845,3,40,80,4.079
234,41.326,40,850,930,11,40,80,41.326
235,144.741,150,945,1215,11,70,80,144.741
236,7.142,15,1245,1300,6,80,80,7.142
237,171.14,195,1345,1700,13,1,80,171.14
238,2.492,10,1630,1640,1,50,81,2.492
239,2.494,10,2020,2030,16,1,81,2.494
240,9.354,30,1030,1100,1,40,83,9.354
241,8.919,20,1830,1850,14,1,83,8.919
242,29.006,45,500,545,1,1,85,29.006
243,32.545,45,1745,1830,2,1,85,32.545
244,7.132,11,820,831,1,10,86,7.132
245,6.577,12,1718,1730,3,1,86,6.577
246,3.06,3,1435,1438,1,1,89,3.06
247,2.969,4,1444,1448,1,1,89,2.969
248,23.902,30,630,700,1,10,90,23.902
249,24.373,30,1545,1615,3,1,90,24.373
250,1.508,10,1820,1830,16,40,90,1.508
251,1.547,5,1835,1840,11,80,90,1.547
252,3.115,20,1845,1905,13,1,90,3.115
253,0.46,5,755,800,1,40,91,0.46
254,2.829,15,810,825,11,40,91,2.829
255,6.049,15,930,945,14,10,91,6.049
256,4.196,15,1030,1045,3,40,91,4.196
257,4.202,10,1135,1145,11,10,91,4.202
258,2.04,5,1200,1205,3,10,91,2.04
259,5.496,20,1300,1320,3,10,91,5.496
260,4.114,15,1430,1445,3,40,91,4.114
261,5.281,10,1525,1535,11,40,91,5.281
262,5.859,20,1550,1610,11,10,91,5.859
263,4.196,15,1800,1815,3,40,91,4.196
264,10.085,20,1820,1840,11,1,91,10.085
265,58.702,95,1040,1215,1,80,93,58.702
266,1.552,20,1335,1355,13,50,93,1.552
267,6.52,20,1830,1850,15,50,93,6.52
268,5.145,20,1920,1940,15,80,93,5.145
269,58.396,123,2025,2228,13,1,93,58.396
270,1.135,3,815,818,1,10,94,1.135
271,1.395,4,2020,2024,3,1,94,1.395
272,11.883,20,700,720,1,10,95,11.883
273,11.59,20,1630,1650,3,1,95,11.59
274,2.401,10,1735,1745,1,80,96,2.401
275,2.392,10,1750,1800,13,1,96,2.392
