,TRPMILES,TRVLCMIN,STRTTIME,ENDTIME,WHYFROM,WHYTRP1S,DAY,VMT_MILE
201,4.672,15,2015,2030,13,1,49,4.672
202,5.925,15,545,600,1,50,50,5.925
203,6.56,12,740,752,16,1,50,6.56
204,21.343,20,907,927,1,97,50,21.343
205,20.841,29,1231,1300,5,1,50,20.841
206,0.556,10,805,815,1,20,52,-1.0
207,0.972,5,820,825,1,1,52,0.972
208,0.972,10,1625,1635,8,1,52,-1.0
209,0.701,5,730,735,1,70,54,0.701
210,14.079,40,750,830,6,10,54,14.079
211,15.027,30,1730,1800,3,1,54,15.027
212,3.645,10,1000,1010,1,50,55,3.645
213,3.784,15,1125,1140,15,1,55,3.784
214,20.543,30,530,600,1,10,56,20.543
215,20.47,30,1630,1700,3,1,56,20.47
216,5.636,15,1145,1200,1,10,59,5.636
217,4.457,15,1800,1815,3,1,59,4.457
218,14.879,35,745,820,1,70,60,14.879
219,4.212,9,821,830,6,10,60,4.212
220,14.653,20,1730,1750,3,1,60,14.653
221,0.701,5,730,735,1,70,61,0.701
222,14.079,40,750,830,6,10,61,14.079
223,15.027,30,1730,1800,3,1,61,15.027
224,1.396,15,1200,1215,1,40,62,1.396
225,1.396,15,1225,1240,11,1,62,1.396
226,7.793,15,855,910,1,20,63,7.793
227,7.855,15,1055,1110,19,1,63,7.855
228,24.111,50,600,650,1,50,64,24.111
229,10.667,20,1110,1130,15,40,64,10.667
230,3.667,10,1150,1200,11,80,64,3.667
231,10.524,20,1300,1320,13,1,64,10.524
232,3.265,60,900,1000,1,40,65,3.265
233,1.496,65,1045,1150,11,80,65,1.496
234,4.16,15,1215,1230,13,1,65,4.16
235,26.481,30,1345,1415,1,30,66,26.481
236,25.268,120,1615,1815,18,1,66,-1.0
237,14.526,40,650,730,1,10,67,14.526
238,1.071,5,1140,1145,3,50,67,1.071
239,1.051,5,1250,1255,16,10,67,1.051
240,13.704,20,1655,1715,3,40,67,13.704
241,2.402,15,1725,1740,11,10,67,2.402
242,2.451,10,1830,1840,3,10,67,2.451
243,0.608,5,1900,1905,3,40,67,0.608
244,2.746,5,1915,1920,11,10,67,2.746
245,0.481,3,1925,1928,3,1,67,0.481
246,0.556,10,805,815,1,20,68,-1.0
247,0.972,5,820,825,1,1,68,0.972
248,0.972,10,1625,1635,8,1,68,-1.0
249,3.609,8,720,728,1,70,70,3.609
250,1.193,11,729,740,6,10,70,1.193
251,1.196,7,1508,1515,4,70,70,1.196
252,3.627,11,1516,1527,6,70,70,3.627
253,4.073,12,1532,1544,6,10,70,4.073
254,4.09,12,1800,1812,3,1,70,4.09
255,138.451,140,500,720,1,80,73,138.451
256,113.051,150,730,1000,13,50,73,113.051
257,97.578,150,1030,1300,11,80,73,-1.0
258,147.457,120,1330,1530,13,50,73,147.457
259,4.011,30,1630,1700,17,50,73,4.011
260,4.291,15,2030,2045,17,1,73,4.291
261,29.671,35,515,550,1,10,74,29.671
262,1.892,15,1000,1015,3,10,74,1.892
263,1.888,15,1815,1830,3,10,74,1.888
264,29.634,35,1900,1935,3,1,74,29.634
265,1.396,15,1200,1215,1,40,75,1.396
266,1.396,15,1225,1240,11,1,75,1.396
267,6.854,20,730,750,1,10,76,6.854
268,7.093,25,1655,1720,3,1,76,7.093
269,2.981,12,700,712,1,70,77,2.981
270,3.646,22,713,735,6,1,77,3.646
271,2.981,10,1455,1505,1,70,77,2.981
272,3.646,15,1530,1545,6,1,77,3.646
273,24.111,50,600,650,1,50,79,24.111
274,10.667,20,1110,1130,15,40,79,10.667
275,3.667,10,1150,1200,11,80,79,3.667
276,10.524,20,1300,1320,13,1,79,10.524
277,7.793,15,855,910,1,20,80,7.793
278,7.855,15,1055,1110,19,1,80,7.855
279,12.639,20,600,620,1,10,82,12.639
280,2.598,20,800,820,1,10,83,2.598
281,3.884,25,1600,1625,3,50,83,3.884
282,1.625,19,2342,2401,17,1,83,1.625
283,12.639,20,600,620,1,10,84,12.639
284,2.843,10,730,740,1,70,87,2.843
285,2.801,15,745,800,6,80,87,2.801
286,4.757,5,805,810,13,1,87,4.757
287,2.406,10,1000,1010,1,40,87,2.406
288,0.305,3,1100,1103,11,40,87,0.305
289,2.271,7,1118,1125,11,1,87,2.271
290,2.843,15,1445,1500,1,70,87,2.843
291,5.804,10,1505,1515,6,80,87,5.804
292,6.066,10,1520,1530,13,1,87,6.066
293,30.998,44,401,445,1,10,88,30.998
294,30.8,55,1750,1845,3,1,88,30.8
295,0.643,5,725,730,1,10,89,0.643
296,0.574,5,1200,1205,3,40,89,0.574
297,0.387,4,1208,1212,14,40,89,0.387
298,1.197,6,1214,1220,12,1,89,1.197
299,0.643,5,1255,1300,1,10,89,0.643
300,0.646,5,1700,1705,3,1,89,0.646
301,5.925,15,545,600,1,50,92,5.925
302,6.56,12,740,752,16,1,92,6.56
303,21.343,20,907,927,1,97,92,21.343
304,20.841,29,1231,1300,5,1,92,20.841
305,3.609,8,720,728,1,70,95,3.609
306,1.193,11,729,740,6,10,95,1.193
307,1.196,7,1508,1515,4,70,95,1.196
308,3.627,11,1516,1527,6,70,95,3.627
309,4.073,12,1532,1544,6,10,95,4.073
310,4.09,12,1800,1812,3,1,95,4.09
311,5.636,15,1145,1200,1,10,96,5.636
312,4.457,15,1800,1815,3,1,96,4.457
313,3.645,10,1000,1010,1,50,97,3.645
314,3.784,15,1125,1140,15,1,97,3.784
315,0.643,5,725,730,1,10,98,0.643
316,0.574,5,1200,1205,3,40,98,0.574
317,0.387,4,1208,1212,14,40,98,0.387
318,1.197,6,1214,1220,12,1,98,1.197
319,0.643,5,1255,1300,1,10,98,0.643
320,0.646,5,1700,1705,3,1,98,0.646
321,3.645,10,1000,1010,1,50,101,3.645
322,3.784,15,1125,1140,15,1,101,3.784
323,8.87,20,1230,1250,1,80,102,-1.0
324,7.183,16,1255,1311,13,50,102,-1.0
325,22.082,35,1841,1916,17,1,102,-1.0
326,8.192,20,1630,1650,1,10,103,8.192
327,8.141,20,2330,2350,3,1,103,8.141
328,8.192,20,1630,1650,1,10,104,8.192
329,8.141,20,2330,2350,3,1,104,8.141
330,6.613,25,705,730,1,10,105,6.613
331,21.633,45,1530,1615,3,70,105,21.633
332,14.079,20,1620,1640,6,1,105,14.079
333,8.88,30,710,740,1,50,106,8.88
334,7.396,30,1430,1500,15,40,106,7.396
335,1.565,10,1520,1530,11,1,106,1.565
336,1.323,10,1900,1910,1,80,106,1.323
337,1.428,10,1920,1930,13,1,106,1.428
338,3.265,60,900,1000,1,40,107,3.265
339,1.496,65,1045,1150,11,80,107,1.496
340,4.16,15,1215,1230,13,1,107,4.16
341,8.192,20,1630,1650,1,10,109,8.192
342,8.141,20,2330,2350,3,1,109,8.141
343,2.284,6,1025,1031,1,20,110,2.284
344,37.279,50,1230,1320,19,80,110,37.279
345,14.776,12,1410,1422,13,97,110,14.776
346,15.754,10,1500,1510,97,80,110,15.754
347,36.919,40,1530,1610,13,50,110,36.919
348,3.16,10,1830,1840,15,80,110,3.16
349,1.459,5,1900,1905,13,50,110,1.459
350,1.777,3,2100,2103,15,50,110,1.777
351,0.776,10,2105,2115,17,1,110,0.776
352,5.636,15,1145,1200,1,10,112,5.636
353,4.457,15,1800,1815,3,1,112,4.457
354,2.284,6,1025,1031,1,20,115,2.284
355,37.279,50,1230,1320,19,80,115,37.279
356,14.776,12,1410,1422,13,97,115,14.776
357,15.754,10,1500,1510,97,80,115,15.754
358,36.919,40,1530,1610,13,50,115,36.919
359,3.16,10,1830,1840,15,80,115,3.16
360,1.459,5,1900,1905,13,50,115,1.459
361,1.777,3,2100,2103,15,50,115,1.777
362,0.776,10,2105,2115,17,1,115,0.776
363,1.396,15,1200,1215,1,40,116,1.396
364,1.396,15,1225,1240,11,1,116,1.396
365,1.892,7,1030,1037,1,10,118,1.892
366,1.898,7,2110,2117,3,1,118,1.898
367,7.983,15,930,945,1,20,119,7.983
368,0.609,5,1245,1250,19,50,119,0.609
369,2.008,15,1345,1400,17,40,119,2.008
370,1.974,10,1630,1640,11,50,119,1.974
371,8.001,20,1700,1720,17,1,119,8.001
372,1.258,5,1915,1920,1,40,119,1.258
373,3.457,15,1930,1945,11,80,119,3.457
374,4.672,15,2015,2030,13,1,119,4.672
375,3.645,10,1000,1010,1,50,122,3.645
376,3.784,15,1125,1140,15,1,122,3.784
377,3.609,8,720,728,1,70,123,3.609
378,1.193,11,729,740,6,10,123,1.193
379,1.196,7,1508,1515,4,70,123,1.196
380,3.627,11,1516,1527,6,70,123,3.627
381,4.073,12,1532,1544,6,10,123,4.073
382,4.09,12,1800,1812,3,1,123,4.09
383,13.706,15,715,730,1,70,126,13.706
384,1.209,10,742,752,6,80,126,1.209
385,12.802,36,802,838,13,1,126,12.802
386,20.112,35,1100,1135,1,70,126,20.112
387,4.57,8,1139,1147,6,80,126,4.57
388,5.031,12,1230,1242,13,70,126,5.031
389,19.666,26,1249,1315,6,1,126,19.666
390,13.706,28,1400,1428,1,70,126,13.706
391,14.067,30,1445,1515,6,1,126,14.067
392,19.599,33,1845,1918,1,40,126,19.599
393,0.62,13,2045,2058,11,1,126,0.62
394,19.166,33,2145,2218,1,1,126,19.166
395,1.892,7,1030,1037,1,10,129,1.892
396,1.898,7,2110,2117,3,1,129,1.898
397,7.793,15,855,910,1,20,130,7.793
398,7.855,15,1055,1110,19,1,130,7.855
399,1.446,3,650,653,1,70,131,1.446
400,1.446,4,654,658,6,1,131,1.446
401,3.689,15,900,915,1,40,131,3.689
402,5.049,15,945,1000,11,40,131,5.049
403,2.135,10,1030,1040,11,50,131,2.135
404,6.846,15,1140,1155,16,1,131,6.846
405,1.446,4,1350,1354,1,70,131,1.446
